Przypadek;Rozmiar;Wype³nienie;Funkcja;Strategia;CzasInsert[ms];AvgInsertProbes;CzasRemove[ms];AvgRemoveProbes;;;;;;;;;
Optymistyczny;30000;50;Universal;SeparateChain;1.776;0.000;1.249;1.000;;;;;;;;;
Optymistyczny;30000;50;Universal;TwoChoice;0.277;0.000;0.320;1.000;;;;;;;;;
Optymistyczny;30000;75;Modular;Linear;27.975;375.500;20.702;375.500;;;;;;;;;
Optymistyczny;30000;75;Modular;Quadratic;1617.316;23661.304;1562.449;23661.304;;;;;;;;;
Optymistyczny;30000;75;Modular;RobinHood;83.590;375.500;11.575;375.500;;;;;;;;;
Optymistyczny;30000;75;Modular;SeparateChain;49.860;374.500;52.545;375.500;;;;;;;;;
Optymistyczny;30000;75;Modular;TwoChoice;10.893;174.868;0.289;2.681;;;;;;;;;
Optymistyczny;30000;75;Multiplicative;Linear;0.684;1.082;0.349;1.082;;;;;;;;;
Optymistyczny;30000;75;Multiplicative;Quadratic;0.404;1.313;0.375;1.313;;;;;;;;;
Optymistyczny;30000;75;Multiplicative;RobinHood;0.515;1.082;0.348;1.082;;;;;;;;;
Optymistyczny;30000;75;Multiplicative;SeparateChain;1.717;0.045;1.475;1.045;;;;;;;;;
Optymistyczny;30000;75;Multiplicative;TwoChoice;0.423;0.064;0.475;1.079;;;;;;;;;
Optymistyczny;30000;75;XOR+Shift;Linear;6.433;82.514;4.970;82.514;;;;;;;;;
Optymistyczny;30000;75;XOR+Shift;Quadratic;1.189;7.846;1.118;7.846;;;;;;;;;
Optymistyczny;30000;75;XOR+Shift;RobinHood;30.534;82.514;9.071;82.514;;;;;;;;;
Optymistyczny;30000;75;XOR+Shift;SeparateChain;1.889;0.403;1.419;1.403;;;;;;;;;
Optymistyczny;30000;75;XOR+Shift;TwoChoice;5.973;81.514;1.247;16.103;;;;;;;;;
Optymistyczny;30000;75;Universal;Linear;0.585;1.796;0.424;1.796;;;;;;;;;
Optymistyczny;30000;75;Universal;Quadratic;0.543;1.341;0.399;1.341;;;;;;;;;
Optymistyczny;30000;75;Universal;RobinHood;0.866;1.796;0.534;1.796;;;;;;;;;
Optymistyczny;30000;75;Universal;SeparateChain;2.045;0.060;1.768;1.060;;;;;;;;;
Optymistyczny;30000;75;Universal;TwoChoice;0.477;0.497;0.507;1.109;;;;;;;;;
Optymistyczny;30000;90;Modular;Linear;32.796;450.500;23.512;450.500;;;;;;;;;
Optymistyczny;30000;90;Modular;Quadratic;1911.835;24717.753;1659.988;24717.753;;;;;;;;;
Optymistyczny;30000;90;Modular;RobinHood;111.044;450.500;16.955;450.500;;;;;;;;;
Optymistyczny;30000;90;Modular;SeparateChain;53.552;449.500;54.037;450.500;;;;;;;;;
Optymistyczny;30000;90;Modular;TwoChoice;8.880;214.127;0.353;2.688;;;;;;;;;
Optymistyczny;30000;90;Multiplicative;Linear;0.817;1.390;0.467;1.390;;;;;;;;;
Optymistyczny;30000;90;Multiplicative;Quadratic;0.726;2.123;0.552;2.123;;;;;;;;;
Optymistyczny;30000;90;Multiplicative;RobinHood;0.833;1.390;0.475;1.390;;;;;;;;;
Optymistyczny;30000;90;Multiplicative;SeparateChain;2.345;0.137;1.915;1.137;;;;;;;;;
